City Name,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
Sitka,37.17,-99.65,84.99,56,0,18.01
Punta Arenas,-53.16,-70.91,44.6,65,20,31.09
Lagoa,37.14,-8.45,73.0,94,75,9.17
Nadym,65.53,72.51,35.59,75,10,16.37
Atuona,-9.8,-139.03,80.41,78,8,23.76
Lindi,-10.0,39.71,75.2,83,20,5.82
Nikolskoye,59.7,30.79,45.0,93,75,2.24
Bambous Virieux,-20.34,57.76,69.01,88,75,18.34
Pangai,-19.8,-174.35,70.33,76,88,23.82
Albany,42.65,-73.75,81.0,47,1,2.82
Constitucion,23.99,-104.67,71.01,60,20,3.69
Lebu,8.96,38.73,57.19,90,100,3.42
Upernavik,72.79,-56.15,38.29,68,100,13.27
Vaini,15.34,74.49,75.73,95,12,2.53
Ushuaia,-54.81,-68.31,35.6,74,75,26.4
Traverse City,44.76,-85.62,87.8,55,20,12.75
Bereda,43.27,-7.54,70.0,60,40,13.87
Hermanus,-34.42,19.24,57.0,98,81,1.01
Honiara,-9.43,159.96,73.4,94,75,4.7
Thompson,55.74,-97.86,57.2,100,75,11.41
Saldanha,41.42,-6.55,62.59,83,94,2.73
Saint-Philippe,45.36,-73.48,80.01,60,1,6.93
Port Elizabeth,39.31,-74.98,84.99,32,1,5.82
Arraial do Cabo,-22.97,-42.02,78.8,78,75,11.41
Mahebourg,-20.41,57.7,69.01,88,75,18.34
Ulaangom,49.98,92.07,53.77,50,87,2.28
Sur,22.57,59.53,82.21,55,0,9.55
Guerrero Negro,27.97,-114.04,68.35,84,0,12.15
Tabas,33.6,56.92,93.2,10,0,6.93
Ko Samui,9.54,99.94,82.03,78,99,11.27
Mar del Plata,-46.43,-67.52,55.39,21,8,27.34
Souillac,45.6,-0.6,75.2,83,90,5.82
Saint George,39.45,22.34,66.2,59,20,6.93
Puerto Ayora,-0.74,-90.35,75.2,60,75,17.22
kuri,32.7,74.45,80.6,74,0,3.62
Busselton,-33.64,115.35,42.01,60,0,12.53
Ilulissat,69.22,-51.1,46.4,52,75,14.99
Buala,-8.15,159.59,79.33,81,18,11.7
Cabo San Lucas,22.89,-109.91,89.01,83,75,14.99
Makakilo City,21.35,-158.09,80.6,88,40,3.36
Tasiilaq,65.61,-37.64,42.8,70,90,13.87
Channel-Port aux Basques,47.57,-59.14,49.27,81,13,27.36
Kodiak,39.95,-94.76,75.99,94,90,8.05
Najran,17.54,44.22,82.4,14,0,4.7
Ribeira Grande,38.52,-28.7,75.2,64,20,13.87
Havre-Saint-Pierre,50.23,-63.6,60.8,48,1,13.87
Hobart,-42.88,147.33,48.2,88,66,19.46
Kruisfontein,-34.0,24.73,57.73,80,83,11.86
Aguada de Pasajeros,22.38,-80.85,87.8,70,40,10.29
Gerash,27.67,54.14,91.4,17,0,6.93
Kapaa,22.08,-159.32,80.6,78,75,18.34
Itarema,-2.92,-39.92,88.15,53,13,17.0
Isangel,-19.55,169.27,72.49,73,92,26.49
Tiksi,71.64,128.87,35.95,89,100,7.07
Port Lincoln,-34.72,135.86,53.77,65,60,16.35
Rikitea,-23.12,-134.97,73.57,91,4,8.52
Manutuke,-38.68,177.91,51.01,83,99,1.01
Butaritari,3.07,172.79,84.37,59,6,6.38
Mataura,-46.19,168.86,39.0,94,12,1.01
Katsuura,33.93,134.5,75.2,83,75,12.75
Tommot,58.97,126.27,41.35,95,100,3.78
Salalah,17.01,54.1,80.6,83,40,8.05
Castro,-42.48,-73.76,50.0,61,40,3.36
Bethel,60.79,-161.76,35.6,92,20,8.05
Bredasdorp,-34.53,20.04,57.2,87,85,8.05
Yarada,17.65,83.27,82.4,88,20,3.36
Gryazovets,58.88,40.25,35.77,91,61,4.81
Ambovombe,-25.18,46.09,70.69,80,0,34.69
Hervey Bay,-25.3,152.85,62.01,93,40,6.93
Victoria,5.28,115.24,84.2,83,75,2.24
Abay,49.63,72.87,46.4,52,0,8.95
Yellowknife,62.45,-114.38,48.2,93,75,13.87
Abapo,-18.83,-63.47,82.39,28,54,9.01
Coahuayana,18.62,-100.35,81.85,75,48,1.86
Hofn,64.25,-15.21,39.01,98,100,1.7
Hasaki,35.73,140.83,66.2,88,75,8.05
Ketchikan,55.34,-131.65,55.4,100,90,17.22
Necochea,-38.55,-58.74,57.0,56,0,15.01
Yenagoa,4.92,6.26,77.71,90,97,5.01
Pevek,69.7,170.27,33.43,96,100,16.44
Bluff,-23.58,149.07,58.27,93,0,7.47
Kendal,-6.92,110.2,80.6,57,20,3.36
Slave Lake,55.28,-114.77,55.4,71,1,4.7
Sinnamary,5.38,-52.96,81.85,82,24,18.1
Monrovia,6.33,-10.8,77.0,94,75,8.88
Bandarbeyla,9.49,50.81,75.73,76,74,22.37
Luderitz,-26.65,15.16,66.2,59,100,23.04
Barrow,-38.31,-60.23,58.99,39,32,16.71
Poum,41.28,20.71,60.8,55,0,2.24
Coihaique,-45.58,-72.07,50.0,43,40,9.17
Miramar,10.09,-84.73,81.0,69,40,6.93
Blythe,33.61,-114.59,84.0,21,1,4.7
Bad Kreuznach,49.84,7.87,73.4,30,1,5.82
Clarence Town,-32.59,151.78,66.99,82,99,5.82
Yecla,38.61,-1.12,82.0,83,0,8.05
Saskylakh,71.97,114.09,39.55,95,100,13.38
Abu Samrah,35.3,37.18,69.79,65,0,9.1
Cape Town,-33.93,18.42,60.01,82,75,10.29
Emba,34.81,32.42,78.8,78,20,3.36
Chokurdakh,70.62,147.9,24.79,87,51,4.7
Esperance,-33.86,121.89,46.4,93,75,5.82
Sabang,13.8,121.11,77.0,89,100,1.9
Cherskiy,68.75,161.3,27.31,94,97,7.25
Baft,29.23,56.61,57.01,27,0,4.32
Avera,33.19,-82.53,88.0,42,1,3.27
Campbellton,48.0,-66.68,60.79,47,53,6.87
Gongzhuling,43.5,124.81,50.35,86,0,2.98
Katherine,-14.47,132.26,82.4,51,40,11.41
Eldorado,-24.52,-48.11,62.77,92,100,2.75
Georgetown,6.8,-58.16,91.4,70,40,13.87
Pacific Grove,36.62,-121.92,78.01,40,1,12.01
Buta,2.79,24.73,71.77,95,100,0.07
Padang,-0.92,100.36,80.05,85,100,17.05
Aykhal,65.95,111.51,39.2,80,0,8.95
Pyinmana,19.74,96.21,73.57,96,98,3.22
Ust-Maya,60.42,134.54,30.73,97,77,2.37
Naujoji Akmene,56.32,22.9,55.4,82,40,13.87
Yar-Sale,66.83,70.83,36.31,68,0,14.56
Altay,47.83,88.13,51.25,47,0,6.13
Dongsheng,29.72,112.52,66.01,62,3,10.04
Adre,13.47,22.2,79.51,60,100,8.32
Nara,34.68,135.8,73.99,83,100,2.24
Trairi,-3.28,-39.27,92.47,37,6,14.18
Hyeres,43.12,6.14,64.99,77,100,6.93
Los Llanos de Aridane,28.66,-17.92,77.0,73,75,4.7
Huilong,31.15,106.5,67.63,74,74,2.42
Atasu,48.68,71.64,65.29,32,24,14.29
Diamantino,-14.4,-56.44,99.49,26,77,8.57
Rancho Palos Verdes,33.75,-118.37,78.01,73,5,3.36
Camacupa,-12.02,17.48,71.95,34,95,2.95
Khatanga,71.98,102.47,42.79,93,97,13.53
Severo-Kurilsk,50.68,156.12,48.01,84,99,17.22
Port Alfred,-33.59,26.89,64.0,90,100,4.0
Provideniya,64.42,-173.23,29.65,77,42,5.59
Flinders,-34.58,150.85,66.0,67,57,8.05
Saint-Francois,46.42,3.91,77.0,44,0,14.99
Longyearbyen,78.22,15.63,33.8,64,40,10.29
Ybycui,-26.02,-57.05,78.79,27,0,11.65
Vyyezdnoye,55.38,43.79,35.95,83,5,4.61
